,18,TINTO,1,,
,19,CEMENTO,1,,
,20,VERDE MILITAR,1,,
,21,ESMERALDA,1,,
,22,VERDE OSCURO,1,,
,23,PLUMBAGO,1,,
,24,PIZARRA,1,,
,25,REY,1,,
,30,GRIS OXFORD,1,,
,31,MANZANA,1,,
,32,ELECTRICO,1,,
,54,CALABAZA,1,,
,109,NEGRO,1,,
,162,HUESO,1,,
,1080,MOSTAZA,1,,
,1081,LIMON,1,,
,2065,PERON,1,,
,3060,TURQUEZA,1,,
,4030,BUGAMBILIA,1,,
,4034,OBISPO,1,,
,4035,MORADO,1,,
,4041,LILA,1,,
,5059,Tinto,1,,
,5067,FIUSHA,1,,
,5097,ROJO,1,,
,6045,PAPAYA,1,,
,21,CAMELLO,1,,
,22,ARENA,1,,
,26,TINTO,1,,
,29,VERDE MILITAR,1,,
,101,BLANCO,1,,
,102,ROSA,1,,
,108,MARINO,1,,
,109,NEGRO,1,,
,125,BEIGE,1,,
,151,FIUSHA,1,,
,158,CAMELLO,1,,
,437,TURQUEZA,1,,
,1077,PERLA,1,,
,4025,GINDA,1,,
,5063,SANDIA,1,,
,5080,CORAL FUERTE ,1,,
,6052,CAFÉ OSCURO,1,,
,9025,GRIS PERLA ,1,,
,C046,ROJO,1,,
,5,ROSA,1,,
,23,BEIGE,1,,
,47,NEGRO,1,,
,62,AZUL PAVO,1,,
,64,REY,1,,
,76,FLEVINA VERDE,1,,
,78,ESMERALDA,1,,
,93,ROSA ,1,,
,107,CORAL,1,,
,121,COCOA,1,,
,125,CASTAÑA CAFÉ,1,,
,133,AMARILLO,1,,
,144,PETUNIA ROSA,1,,
,154,VIOLETA,1,,
,1077,PERLA,1,,
,1080,MOSTAZA ,1,,
,1096,CARNE,1,,
,1097,CARNE,1,,
,1631,AMARILLO POLLO,1,,
,2057,VERDE MANZANA,1,,
,4046,MAGENTA,1,,
,4048,ROSA LABIAL ,1,,
,5059,TINTO,1,,
,5060,ROJO,1,,
,5067,FIUSHA,1,,
,6026,CAFÉ,1,,
,6045,PAPAYA,1,,
,9023,GRIS PERLA,1,,
,9032,GRIS OXFORD,1,,
,50310,PISTACHEO,1,,
,C035,BLANCO  ,1,,
,C036,MAIZ,1,,
,C038,ROSA BB,1,,
,C039,ROSA,1,,
,C041,AZUL REY,1,,
,C043,MENTA,1,,
,C044,AMARILLO,1,,
,C046,ROJO,1,,
,C048,MARINO,1,,
,C049,PALO DE ROSA,1,,
,5,ROSA,1,,
,47,MANGO,1,,
,62,LIMON,1,,
,65,AZUL MARINO,1,,
,68,PALMOLIVE,1,,
,93,ROSA,1,,
,101,BLANCO,1,,
,102,ROSA,1,,
,104,AZUL,1,,
,109,NEGRO,1,,
,121,COCOA,1,,
,131,ROJO,1,,
,133,AMARILLO,1,,
,137,TURQUEZA,1,,
,138,VERDE,1,,
,143,ROSA,1,,
,144,ROSA NIEVE,1,,
,157,MAPLE,1,,
,158,CAMELL,1,,
,162,VERDE LIMON,1,,
,163,MAIZ - HUESO,1,,
,169,TERRACOTA,1,,
,176,ROSA FLORAL,1,,
,470,REY,1,,
,704,ROJO,1,,
,932,GRIS OXFORD,1,,
,1014,AZULOSO,1,,
,1053,AYUNTAMIENTO,1,,
,1077,PERLA,1,,
,1080,MOSTAZA,1,,
,1081,AMARILLO LIMON,1,,
