36,132,xxx,CORAL,1,10,0000-00-00,0000-00-00
37,134,xxx,ROJO GRANATE ,1,10,0000-00-00,0000-00-00
38,139,xxx,CARAMELLO,1,10,0000-00-00,0000-00-00
39,140,xxx,AZUL TURQUEZA,1,10,0000-00-00,0000-00-00
40,157,xxx,AMARILLO BABY,1,10,0000-00-00,0000-00-00
41,163,xxx,MAIZ,1,10,0000-00-00,0000-00-00
42,196,xxx,VERDE BOTELLA,1,10,0000-00-00,0000-00-00
43,210,xxx,GUINDA CLARO,1,10,0000-00-00,0000-00-00
44,210,xxx,PALO DE ROSA,1,10,0000-00-00,0000-00-00
45,212,xxx,ROJO ESCOLAR,1,10,0000-00-00,0000-00-00
46,213,xxx,CAFÉ OSCURO,1,10,0000-00-00,0000-00-00
47,300,xxx,AGUACATE ,1,10,0000-00-00,0000-00-00
48,314,xxx,AGUACATE CLARO,1,10,0000-00-00,0000-00-00
49,411,xxx,TURQUEZA,1,10,0000-00-00,0000-00-00
50,415,xxx,PAVO OSCURO,1,10,0000-00-00,0000-00-00
51,425,xxx,MARINO,1,10,0000-00-00,0000-00-00
52,524,xxx,UVA,1,10,0000-00-00,0000-00-00
53,563,xxx,CORAL,1,10,0000-00-00,0000-00-00
54,611,xxx,CARDENAL ,1,10,0000-00-00,0000-00-00
55,641,xxx,FIUSHA,1,10,0000-00-00,0000-00-00
56,725,xxx,VINO,1,10,0000-00-00,0000-00-00
57,1087,xxx,ORO PUMA,1,10,0000-00-00,0000-00-00
58,2070,xxx,VERDE BANDERA,1,10,0000-00-00,0000-00-00
59,4041,xxx,BUGAMBILIA ,1,10,0000-00-00,0000-00-00
60,4042,xxx,LILA,1,10,0000-00-00,0000-00-00
61,5099,xxx,CEREZA,1,10,0000-00-00,0000-00-00
62,5119,xxx,FIUSHA,1,10,0000-00-00,0000-00-00
63,5121,xxx,MERTIOLATE,1,10,0000-00-00,0000-00-00
64,6055,xxx,NARANJA,1,10,0000-00-00,0000-00-00
65,44,xxx,BLANCO,1,6,0000-00-00,0000-00-00
66,49,xxx,CIELO,1,6,0000-00-00,0000-00-00
67,66,xxx,MENTITA,1,6,0000-00-00,0000-00-00
68,67,xxx,PISTACHE,1,6,0000-00-00,0000-00-00
69,83,xxx,VERDE,1,6,0000-00-00,0000-00-00
70,97,xxx,ROSA,1,6,0000-00-00,0000-00-00
71,129,xxx,ROJO,1,6,0000-00-00,0000-00-00
72,132,xxx,MARACUYA,1,6,0000-00-00,0000-00-00
73,149,xxx,ROJO,1,6,0000-00-00,0000-00-00
74,156,xxx,BEIGE FUERTE,1,6,0000-00-00,0000-00-00
75,622,xxx,CORAL,1,6,0000-00-00,0000-00-00
76,830,xxx,ACUA LIMON ,1,6,0000-00-00,0000-00-00
77,3060,xxx,TURQUEZA,1,6,0000-00-00,0000-00-00
78,5089,xxx,ROJO QUEMADO,1,6,0000-00-00,0000-00-00
79,A002,xxx,CREMA,1,6,0000-00-00,0000-00-00
80,A004,xxx,MAMEY,1,6,0000-00-00,0000-00-00
81,A006,xxx,ROSA,1,6,0000-00-00,0000-00-00
82,A014,xxx,NEGRO,1,6,0000-00-00,0000-00-00
83,A039,xxx,MARINO,1,6,0000-00-00,0000-00-00
84,H32,xxx,ORO,1,6,0000-00-00,0000-00-00
